"QUERY PLAN"
"Sort  (cost=225.93..226.02 rows=36 width=82) (actual time=7.640..7.644 rows=8.00 loops=1)"
"  Sort Key: screening.start_time"
"  Sort Method: quicksort  Memory: 25kB"
"  Buffers: shared hit=156 read=23"
"  ->  Nested Loop  (cost=2.72..225.00 rows=36 width=82) (actual time=2.281..7.592 rows=8.00 loops=1)"
"        Buffers: shared hit=156 read=23"
"        ->  Nested Loop  (cost=2.43..213.21 rows=36 width=62) (actual time=1.551..6.698 rows=8.00 loops=1)"
"              Buffers: shared hit=132 read=23"
"              ->  Nested Loop  (cost=2.16..202.30 rows=36 width=42) (actual time=1.528..6.607 rows=8.00 loops=1)"
"                    Buffers: shared hit=108 read=23"
"                    ->  Nested Loop  (cost=1.88..191.59 rows=36 width=38) (actual time=1.467..6.441 rows=8.00 loops=1)"
"                          Buffers: shared hit=84 read=23"
"                          ->  Nested Loop  (cost=1.59..180.14 rows=36 width=29) (actual time=1.444..5.721 rows=8.00 loops=1)"
"                                Buffers: shared hit=60 read=23"
"                                ->  Nested Loop  (cost=1.30..169.14 rows=36 width=29) (actual time=1.384..5.081 rows=8.00 loops=1)"
"                                      Buffers: shared hit=36 read=23"
"                                      ->  Nested Loop  (cost=0.88..153.05 rows=36 width=17) (actual time=1.304..3.860 rows=8.00 loops=1)"
"                                            Buffers: shared hit=4 read=23"
"                                            ->  Index Scan using idx_payment_fk_client_id on payment  (cost=0.43..40.59 rows=9 width=4) (actual time=0.738..1.278 rows=4.00 loops=1)"
"                                                  Index Cond: (fk_client_id = 260921)"
"                                                  Index Searches: 1"
"                                                  Buffers: shared read=7"
"                                            ->  Index Scan using idx_ticket_fk_payment_id on ticket  (cost=0.44..12.47 rows=2 width=21) (actual time=0.296..0.560 rows=2.00 loops=4)"
"                                                  Index Cond: (fk_payment_id = payment._id)"
"                                                  Index Searches: 4"
"                                                  Buffers: shared hit=4 read=16"
"                                      ->  Index Scan using screening_pkey on screening  (cost=0.43..0.45 rows=1 width=20) (actual time=0.149..0.149 rows=1.00 loops=8)"
"                                            Index Cond: (_id = ticket.fk_screening_id)"
"                                            Index Searches: 8"
"                                            Buffers: shared hit=32"
"                                ->  Index Scan using movie_version_pkey on movie_version  (cost=0.29..0.31 rows=1 width=8) (actual time=0.078..0.078 rows=1.00 loops=8)"
"                                      Index Cond: (_id = screening.fk_movie_version_id)"
"                                      Index Searches: 8"
"                                      Buffers: shared hit=24"
"                          ->  Index Scan using movie_pkey on movie  (cost=0.29..0.32 rows=1 width=17) (actual time=0.088..0.088 rows=1.00 loops=8)"
"                                Index Cond: (_id = movie_version.fk_movie_id)"
"                                Index Searches: 8"
"                                Buffers: shared hit=24"
"                    ->  Index Scan using room_pkey on room  (cost=0.28..0.30 rows=1 width=12) (actual time=0.019..0.019 rows=1.00 loops=8)"
"                          Index Cond: (_id = screening.fk_room_id)"
"                          Index Searches: 8"
"                          Buffers: shared hit=24"
"              ->  Index Scan using cinema_pkey on cinema  (cost=0.27..0.30 rows=1 width=28) (actual time=0.009..0.009 rows=1.00 loops=8)"
"                    Index Cond: (_id = room.fk_cinema_id)"
"                    Index Searches: 8"
"                    Buffers: shared hit=24"
"        ->  Index Scan using seat_pkey on seat  (cost=0.29..0.31 rows=1 width=8) (actual time=0.020..0.020 rows=1.00 loops=8)"
"              Index Cond: (_id = ticket.fk_seat_id)"
"              Index Searches: 8"
"              Buffers: shared hit=24"
"Planning:"
"  Buffers: shared hit=138 read=14 dirtied=2"
"Planning Time: 20.694 ms"
"Execution Time: 9.635 ms"
