"QUERY PLAN"
"Nested Loop  (cost=852155.11..852155.20 rows=1 width=96) (actual time=20871.418..21195.697 rows=1 loops=1)"
"  ->  Finalize Aggregate  (cost=665704.54..665704.55 rows=1 width=64) (actual time=16581.474..16821.075 rows=1 loops=1)"
"        ->  Gather  (cost=665704.32..665704.53 rows=2 width=16) (actual time=16579.786..16821.053 rows=3 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Partial Aggregate  (cost=664704.32..664704.33 rows=1 width=16) (actual time=16456.094..16456.260 rows=1 loops=3)"
"                    ->  Parallel Hash Join  (cost=181753.01..633623.96 rows=4144047 width=4) (actual time=12740.141..15905.452 rows=6660926 loops=3)"
"                          Hash Cond: (t.fk_payment_id = p._id)"
"                          ->  Parallel Index Only Scan using idx_ticket_fk_payment on ticket t  (cost=0.44..348619.03 rows=8333092 width=4) (actual time=0.312..7673.163 rows=6660926 loops=3)"
"                                Index Cond: (fk_payment_id IS NOT NULL)"
"                                Heap Fetches: 118"
"                          ->  Parallel Hash  (cost=113403.81..113403.81 rows=4165981 width=8) (actual time=3285.186..3285.188 rows=3333333 loops=3)"
"                                Buckets: 262144  Batches: 128  Memory Usage: 5184kB"
"                                ->  Parallel Seq Scan on payment p  (cost=0.00..113403.81 rows=4165981 width=8) (actual time=0.445..2176.092 rows=3333333 loops=3)"
"  ->  Finalize Aggregate  (cost=186450.57..186450.59 rows=1 width=64) (actual time=4288.427..4373.095 rows=1 loops=1)"
"        ->  Gather  (cost=186450.35..186450.56 rows=2 width=16) (actual time=4287.204..4373.061 rows=3 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Partial Aggregate  (cost=185450.35..185450.36 rows=1 width=16) (actual time=4196.209..4196.212 rows=1 loops=3)"
"                    ->  Parallel Hash Join  (cost=17387.00..182325.35 rows=416667 width=4) (actual time=3218.751..4168.927 rows=333333 loops=3)"
"                          Hash Cond: (p_1._id = ps.fk_payment_id)"
"                          ->  Parallel Seq Scan on payment p_1  (cost=0.00..113403.81 rows=4165981 width=8) (actual time=0.451..2254.467 rows=3333333 loops=3)"
"                          ->  Parallel Hash  (cost=10550.67..10550.67 rows=416667 width=4) (actual time=253.723..253.723 rows=333333 loops=3)"
"                                Buckets: 262144  Batches: 8  Memory Usage: 7008kB"
"                                ->  Parallel Seq Scan on product_sale ps  (cost=0.00..10550.67 rows=416667 width=4) (actual time=0.361..163.684 rows=333333 loops=3)"
"Planning Time: 8.070 ms"
"Execution Time: 21196.234 ms"
