"QUERY PLAN"
"Nested Loop  (cost=631410.04..631680.05 rows=5400 width=76) (actual time=3678.263..3686.329 rows=8 loops=1)"
"  CTE aggregated"
"    ->  Finalize GroupAggregate  (cost=629893.45..631288.53 rows=5400 width=44) (actual time=3678.223..3686.290 rows=8 loops=1)"
"          Group Key: tt.name, (CASE WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ticket.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END)"
"          ->  Gather Merge  (cost=629893.45..631153.53 rows=10800 width=44) (actual time=3678.218..3686.282 rows=24 loops=1)"
"                Workers Planned: 2"
"                Workers Launched: 2"
"                ->  Sort  (cost=628893.42..628906.92 rows=5400 width=44) (actual time=3652.896..3652.898 rows=8 loops=3)"
"                      Sort Key: tt.name, (CASE WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ticket.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END)"
"                      Sort Method: quicksort  Memory: 25kB"
"                      Worker 0:  Sort Method: quicksort  Memory: 25kB"
"                      Worker 1:  Sort Method: quicksort  Memory: 25kB"
"                      ->  Partial HashAggregate  (cost=628504.66..628558.66 rows=5400 width=44) (actual time=3652.844..3652.859 rows=8 loops=3)"
"                            Group Key: tt.name, CASE WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ticket.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END"
"                            Batches: 1  Memory Usage: 217kB"
"                            Worker 0:  Batches: 1  Memory Usage: 217kB"
"                            Worker 1:  Batches: 1  Memory Usage: 217kB"
"                            ->  Hash Left Join  (cost=3314.52..567194.40 rows=8174701 width=40) (actual time=21.430..2777.143 rows=6530149 loops=3)"
"                                  Hash Cond: (ticket._id = tso.fk_ticket_id)"
"                                  ->  Hash Left Join  (cost=1.61..532976.14 rows=8174701 width=12) (actual time=0.644..1328.288 rows=6527555 loops=3)"
"                                        Hash Cond: (ticket.fk_ticket_type_id = tt._id)"
"                                        ->  Parallel Index Only Scan using idx_ticket_covering on ticket  (cost=0.56..488892.78 rows=8174701 width=12) (actual time=0.476..653.067 rows=6527555 loops=3)"
"                                              Index Cond: (status = ANY ('{used,valid}'::ticket_status[]))"
"                                              Heap Fetches: 99"
"                                        ->  Hash  (cost=1.02..1.02 rows=2 width=8) (actual time=0.144..0.144 rows=2 loops=3)"
"                                              Buckets: 1024  Batches: 1  Memory Usage: 9kB"
"                                              ->  Seq Scan on ticket_type tt  (cost=0.00..1.02 rows=2 width=8) (actual time=0.139..0.140 rows=2 loops=3)"
"                                  ->  Hash  (cost=1786.85..1786.85 rows=122085 width=8) (actual time=20.560..20.560 rows=127802 loops=3)"
"                                        Buckets: 131072  Batches: 1  Memory Usage: 6017kB"
"                                        ->  Seq Scan on ticket_special_offer tso  (cost=0.00..1786.85 rows=122085 width=8) (actual time=0.173..8.789 rows=127802 loops=3)"
"  ->  CTE Scan on aggregated  (cost=0.00..108.00 rows=5400 width=44) (actual time=3678.224..3678.225 rows=8 loops=1)"
"  ->  Materialize  (cost=121.50..121.52 rows=1 width=32) (actual time=0.004..0.004 rows=1 loops=8)"
"        ->  Aggregate  (cost=121.50..121.51 rows=1 width=32) (actual time=0.019..0.020 rows=1 loops=1)"
"              ->  CTE Scan on aggregated aggregated_1  (cost=0.00..108.00 rows=5400 width=8) (actual time=0.000..0.012 rows=8 loops=1)"
"Planning Time: 2.844 ms"
"Execution Time: 3687.161 ms"
