"QUERY PLAN"
"Nested Loop  (cost=1046734.78..1046734.87 rows=1 width=96) (actual time=21884.543..22289.091 rows=1 loops=1)"
"  ->  Finalize Aggregate  (cost=860284.21..860284.22 rows=1 width=64) (actual time=17117.500..17421.351 rows=1 loops=1)"
"        ->  Gather  (cost=860283.99..860284.20 rows=2 width=16) (actual time=17115.635..17421.333 rows=3 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Partial Aggregate  (cost=859283.99..859284.00 rows=1 width=16) (actual time=17072.387..17072.500 rows=1 loops=3)"
"                    ->  Parallel Hash Join  (cost=181752.57..828203.64 rows=4144047 width=4) (actual time=11105.682..16481.983 rows=6660926 loops=3)"
"                          Hash Cond: (t.fk_payment_id = p._id)"
"                          ->  Parallel Seq Scan on ticket t  (cost=0.00..543198.70 rows=8333092 width=4) (actual time=5.815..7805.585 rows=6660926 loops=3)"
"                                Filter: (fk_payment_id IS NOT NULL)"
"                                Rows Removed by Filter: 6744409"
"                          ->  Parallel Hash  (cost=113403.81..113403.81 rows=4165981 width=8) (actual time=1562.743..1562.744 rows=3333333 loops=3)"
"                                Buckets: 262144  Batches: 128  Memory Usage: 5152kB"
"                                ->  Parallel Seq Scan on payment p  (cost=0.00..113403.81 rows=4165981 width=8) (actual time=0.131..690.790 rows=3333333 loops=3)"
"  ->  Finalize Aggregate  (cost=186450.57..186450.59 rows=1 width=64) (actual time=4766.044..4866.725 rows=1 loops=1)"
"        ->  Gather  (cost=186450.35..186450.56 rows=2 width=16) (actual time=4764.209..4866.707 rows=3 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Partial Aggregate  (cost=185450.35..185450.36 rows=1 width=16) (actual time=4705.103..4706.537 rows=1 loops=3)"
"                    ->  Parallel Hash Join  (cost=17387.00..182325.35 rows=416667 width=4) (actual time=3537.923..4674.012 rows=333333 loops=3)"
"                          Hash Cond: (p_1._id = ps.fk_payment_id)"
"                          ->  Parallel Seq Scan on payment p_1  (cost=0.00..113403.81 rows=4165981 width=8) (actual time=0.449..2376.446 rows=3333333 loops=3)"
"                          ->  Parallel Hash  (cost=10550.67..10550.67 rows=416667 width=4) (actual time=278.178..278.179 rows=333333 loops=3)"
"                                Buckets: 262144  Batches: 8  Memory Usage: 7008kB"
"                                ->  Parallel Seq Scan on product_sale ps  (cost=0.00..10550.67 rows=416667 width=4) (actual time=0.408..181.950 rows=333333 loops=3)"
"Planning Time: 9.917 ms"
"Execution Time: 22289.356 ms"
