"QUERY PLAN"
"Sort  (cost=267669.40..267681.90 rows=5000 width=108)"
"  Sort Key: sub.row_number"
"  ->  Subquery Scan on sub  (cost=118395.87..267362.21 rows=5000 width=108)"
"        Filter: ((sub.row_number % '10000'::bigint) = 0)"
"        ->  WindowAgg  (cost=118395.87..252362.21 rows=1000000 width=112)"
"              Window: w1 AS (ORDER BY u.account_create_date, c._id ROWS UNBOUNDED PRECEDING)"
"              ->  Gather Merge  (cost=118395.73..234862.21 rows=1000000 width=104)"
"                    Workers Planned: 2"
"                    ->  Sort  (cost=117395.71..118437.38 rows=416667 width=104)"
"                          Sort Key: u.account_create_date, c._id"
"                          ->  Parallel Hash Join  (cost=15435.00..55714.39 rows=416667 width=104)"
"                                Hash Cond: (u._id = c._id)"
"                                ->  Parallel Seq Scan on ""user"" u  (cost=0.00..23046.25 rows=460625 width=100)"
"                                ->  Parallel Hash  (cost=8598.67..8598.67 rows=416667 width=4)"
"                                      ->  Parallel Seq Scan on client c  (cost=0.00..8598.67 rows=416667 width=4)"
