"QUERY PLAN"
"Nested Loop  (cost=722810.05..723080.06 rows=5400 width=76) (actual time=5143.268..5146.952 rows=8 loops=1)"
"  CTE aggregated"
"    ->  Finalize GroupAggregate  (cost=721293.46..722688.55 rows=5400 width=44) (actual time=5143.231..5146.918 rows=8 loops=1)"
"          Group Key: tt.name, (CASE WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ticket.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END)"
"          ->  Gather Merge  (cost=721293.46..722553.55 rows=10800 width=44) (actual time=5143.225..5146.909 rows=24 loops=1)"
"                Workers Planned: 2"
"                Workers Launched: 2"
"                ->  Sort  (cost=720293.43..720306.93 rows=5400 width=44) (actual time=5085.707..5085.709 rows=8 loops=3)"
"                      Sort Key: tt.name, (CASE WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ticket.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END)"
"                      Sort Method: quicksort  Memory: 25kB"
"                      Worker 0:  Sort Method: quicksort  Memory: 25kB"
"                      Worker 1:  Sort Method: quicksort  Memory: 25kB"
"                      ->  Partial HashAggregate  (cost=719904.67..719958.67 rows=5400 width=44) (actual time=5085.657..5085.673 rows=8 loops=3)"
"                            Group Key: tt.name, CASE WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ticket.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ticket.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END"
"                            Batches: 1  Memory Usage: 217kB"
"                            Worker 0:  Batches: 1  Memory Usage: 217kB"
"                            Worker 1:  Batches: 1  Memory Usage: 217kB"
"                            ->  Hash Left Join  (cost=3313.96..658594.41 rows=8174701 width=40) (actual time=22.659..4110.330 rows=6530149 loops=3)"
"                                  Hash Cond: (ticket._id = tso.fk_ticket_id)"
"                                  ->  Hash Left Join  (cost=1.04..624376.15 rows=8174701 width=12) (actual time=0.522..2467.883 rows=6527555 loops=3)"
"                                        Hash Cond: (ticket.fk_ticket_type_id = tt._id)"
"                                        ->  Parallel Seq Scan on ticket  (cost=0.00..580292.79 rows=8174701 width=12) (actual time=0.379..1693.070 rows=6527555 loops=3)"
"                                              Filter: (status = ANY ('{used,valid}'::ticket_status[]))"
"                                              Rows Removed by Filter: 6767344"
"                                        ->  Hash  (cost=1.02..1.02 rows=2 width=8) (actual time=0.115..0.115 rows=2 loops=3)"
"                                              Buckets: 1024  Batches: 1  Memory Usage: 9kB"
"                                              ->  Seq Scan on ticket_type tt  (cost=0.00..1.02 rows=2 width=8) (actual time=0.110..0.111 rows=2 loops=3)"
"                                  ->  Hash  (cost=1786.85..1786.85 rows=122085 width=8) (actual time=21.941..21.941 rows=127802 loops=3)"
"                                        Buckets: 131072  Batches: 1  Memory Usage: 6017kB"
"                                        ->  Seq Scan on ticket_special_offer tso  (cost=0.00..1786.85 rows=122085 width=8) (actual time=0.114..8.970 rows=127802 loops=3)"
"  ->  CTE Scan on aggregated  (cost=0.00..108.00 rows=5400 width=44) (actual time=5143.233..5143.234 rows=8 loops=1)"
"  ->  Materialize  (cost=121.50..121.52 rows=1 width=32) (actual time=0.004..0.004 rows=1 loops=8)"
"        ->  Aggregate  (cost=121.50..121.51 rows=1 width=32) (actual time=0.021..0.021 rows=1 loops=1)"
"              ->  CTE Scan on aggregated aggregated_1  (cost=0.00..108.00 rows=5400 width=8) (actual time=0.001..0.015 rows=8 loops=1)"
"Planning Time: 2.239 ms"
"Execution Time: 5147.632 ms"
