"QUERY PLAN"
"Sort  (cost=36176.99..36177.02 rows=12 width=33) (actual time=1049.979..1050.364 rows=10417 loops=1)"
"  Sort Key: mvsc.screening_count DESC, m.title"
"  Sort Method: quicksort  Memory: 920kB"
"  CTE movie_version_screening_count"
"    ->  Finalize HashAggregate  (cost=35562.71..35662.71 rows=10000 width=16) (actual time=952.979..964.427 rows=29403 loops=1)"
"          Group Key: mv.fk_movie_id, mv.fk_version_id"
"          Batches: 1  Memory Usage: 3601kB"
"          ->  Gather  (cost=33312.71..35412.71 rows=20000 width=16) (actual time=871.461..898.181 rows=88209 loops=1)"
"                Workers Planned: 2"
"                Workers Launched: 2"
"                ->  Partial HashAggregate  (cost=32312.71..32412.71 rows=10000 width=16) (actual time=811.352..823.108 rows=29403 loops=3)"
"                      Group Key: mv.fk_movie_id, mv.fk_version_id"
"                      Batches: 1  Memory Usage: 3601kB"
"                      Worker 0:  Batches: 1  Memory Usage: 3601kB"
"                      Worker 1:  Batches: 1  Memory Usage: 3601kB"
"                      ->  Hash Join  (cost=821.57..26062.71 rows=833333 width=12) (actual time=15.122..479.628 rows=666667 loops=3)"
"                            Hash Cond: (s.fk_movie_version_id = mv._id)"
"                            ->  Parallel Seq Scan on screening s  (cost=0.00..23053.33 rows=833333 width=8) (actual time=0.151..101.833 rows=666667 loops=3)"
"                            ->  Hash  (cost=454.03..454.03 rows=29403 width=12) (actual time=14.797..14.799 rows=29403 loops=3)"
"                                  Buckets: 32768  Batches: 1  Memory Usage: 1520kB"
"                                  ->  Seq Scan on movie_version mv  (cost=0.00..454.03 rows=29403 width=12) (actual time=0.086..7.113 rows=29403 loops=3)"
"  ->  Nested Loop  (cost=257.37..514.07 rows=12 width=33) (actual time=994.081..1017.645 rows=10417 loops=1)"
"        ->  Hash Join  (cost=257.08..509.89 rows=12 width=24) (actual time=993.971..1003.327 rows=10417 loops=1)"
"              Hash Cond: (mvsc.fk_version_id = v._id)"
"              ->  Hash Join  (cost=255.00..507.50 rows=50 width=20) (actual time=993.872..1001.363 rows=10417 loops=1)"
"                    Hash Cond: ((mvsc.fk_movie_id = movie_version_screening_count.fk_movie_id) AND (mvsc.screening_count = (max(movie_version_screening_count.screening_count))))"
"                    ->  CTE Scan on movie_version_screening_count mvsc  (cost=0.00..200.00 rows=10000 width=16) (actual time=952.986..954.842 rows=29403 loops=1)"
"                    ->  Hash  (cost=252.00..252.00 rows=200 width=12) (actual time=40.852..40.852 rows=10000 loops=1)"
"                          Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 597kB"
"                          ->  HashAggregate  (cost=250.00..252.00 rows=200 width=12) (actual time=37.866..39.535 rows=10000 loops=1)"
"                                Group Key: movie_version_screening_count.fk_movie_id"
"                                Batches: 1  Memory Usage: 1185kB"
"                                ->  CTE Scan on movie_version_screening_count  (cost=0.00..200.00 rows=10000 width=12) (actual time=0.002..22.590 rows=29403 loops=1)"
"              ->  Hash  (cost=1.48..1.48 rows=48 width=12) (actual time=0.082..0.083 rows=48 loops=1)"
"                    Buckets: 1024  Batches: 1  Memory Usage: 11kB"
"                    ->  Seq Scan on version v  (cost=0.00..1.48 rows=48 width=12) (actual time=0.056..0.066 rows=48 loops=1)"
"        ->  Index Scan using movie_pkey on movie m  (cost=0.29..0.35 rows=1 width=17) (actual time=0.001..0.001 rows=1 loops=10417)"
"              Index Cond: (_id = mvsc.fk_movie_id)"
"Planning Time: 1.053 ms"
"Execution Time: 1052.246 ms"
